# heatmap.py CSV dump: row 0 = value 50 (top of image) .. row 49 = value 1 (bottom of image); col 0 = position 1 .. col 49 = position 50 (left to right); entry = count of samples with pi_position = value
1542,1519,1545,1484,1365,1269,1107,930,836,641,590,505,397,343,337,249,225,152,155,151,115,101,92,102,80,66,61,61,63,55,67,47,46,59,51,66,51,55,50,65,66,67,76,94,112,159,222,321,626,1562
1579,1605,1241,1080,896,891,792,793,714,672,628,516,490,438,371,340,330,257,244,183,203,156,148,138,122,135,109,93,96,86,90,84,74,80,82,89,80,98,97,86,110,121,113,138,147,217,258,426,758,1506
1512,1566,1302,1038,869,787,657,650,565,538,550,495,515,442,357,372,324,315,292,265,235,216,207,174,158,156,151,123,103,120,101,117,83,84,103,77,113,110,107,104,124,125,149,167,181,246,316,496,843,1300
1626,1347,1294,1124,926,756,622,560,526,524,460,440,498,409,382,370,337,293,298,274,242,227,220,196,197,160,170,148,134,136,117,117,127,129,110,122,112,118,99,128,150,170,177,198,230,293,368,518,793,1028
1500,1276,1274,1158,1013,824,705,612,548,469,453,463,407,406,370,333,330,312,304,259,263,258,209,214,188,173,185,182,172,140,134,124,146,143,126,123,141,122,142,161,144,176,180,195,226,272,405,496,705,839
1428,1149,1119,1164,1061,860,844,617,588,511,458,395,388,358,396,366,392,294,307,290,247,266,241,218,197,191,178,171,158,154,150,153,129,142,149,132,156,160,150,151,126,176,194,211,257,291,384,514,658,711
1415,1070,984,1000,1046,1024,875,736,616,540,466,430,425,381,342,312,354,310,294,291,309,255,251,224,233,212,189,202,164,168,178,134,166,132,149,145,131,166,159,161,194,188,190,193,266,314,429,457,566,564
1315,1029,921,964,988,1014,934,810,707,630,520,445,398,383,358,355,335,314,326,285,275,229,243,238,206,186,200,206,195,165,160,189,153,165,166,142,149,173,169,187,186,200,221,257,243,315,385,410,525,431
1172,990,842,827,892,879,938,849,871,720,559,524,411,428,378,338,329,346,328,293,288,316,281,252,239,210,208,200,181,176,154,165,178,162,161,143,159,178,182,188,215,197,240,252,279,331,362,397,402,390
1169,969,803,759,832,919,875,932,821,762,688,589,506,443,372,370,359,326,313,282,281,277,244,242,242,225,208,196,187,197,201,168,170,178,165,184,170,163,166,181,199,177,209,254,259,278,342,385,414,349
972,900,782,702,737,719,902,929,865,866,752,632,584,522,458,384,317,370,334,283,279,286,265,265,260,256,231,219,203,201,211,185,191,177,193,173,159,183,183,188,188,206,205,258,254,279,317,362,333,280
836,874,793,716,668,747,792,832,885,850,779,759,613,585,526,405,416,384,308,328,279,291,275,265,257,232,218,222,229,201,221,202,200,174,170,208,197,193,162,167,200,207,199,218,277,290,318,303,277,252
789,765,778,616,672,653,731,802,823,849,864,725,717,674,552,529,403,430,342,317,306,298,267,277,276,258,236,213,224,222,232,230,193,178,172,214,171,163,189,204,220,203,205,231,238,258,280,275,290,246
604,758,738,633,629,622,632,755,809,847,865,879,755,681,614,550,522,427,372,346,320,315,294,274,252,282,258,251,225,234,213,217,198,200,192,184,188,187,181,195,205,215,213,201,221,272,275,267,238,195
510,660,714,688,589,583,613,696,761,764,766,792,805,717,699,610,547,491,443,369,333,341,311,280,314,290,241,252,258,216,221,212,220,210,228,206,199,175,198,202,222,214,224,239,233,244,236,273,219,172
473,592,664,681,636,544,508,584,607,706,760,849,802,767,758,693,547,522,481,457,429,363,320,316,296,317,258,280,274,213,223,252,215,246,196,217,214,195,193,211,190,200,234,243,226,208,234,233,225,148
353,538,626,649,607,546,535,514,601,595,724,766,807,834,748,703,716,613,542,523,408,397,392,338,314,316,267,249,251,255,213,254,223,202,230,228,235,196,197,221,220,214,214,214,235,237,203,204,191,142
277,438,588,638,617,572,530,523,535,559,664,702,775,768,819,791,721,660,626,508,472,432,378,372,350,291,304,273,269,254,293,245,238,244,222,229,208,193,215,202,210,186,227,225,215,222,203,203,189,125
254,415,520,580,577,567,526,472,506,521,550,663,762,820,771,779,766,750,694,578,534,463,470,372,338,345,339,300,284,292,262,233,258,242,265,224,224,218,221,241,161,218,190,206,199,178,203,178,140,131
156,321,437,512,558,590,533,506,479,536,529,599,636,769,837,794,828,744,742,665,588,521,472,422,460,355,315,319,304,291,290,263,249,263,254,197,224,213,199,210,223,216,206,186,179,205,177,172,154,102
135,303,370,466,552,552,517,498,477,491,519,560,612,654,754,731,743,782,753,746,695,634,572,514,440,408,341,344,326,335,276,281,255,266,235,212,227,234,215,222,206,212,202,194,192,183,170,165,124,105
90,200,337,427,515,534,529,522,503,463,476,503,549,599,667,713,735,803,787,713,718,676,576,566,466,459,381,378,351,335,325,278,298,285,256,273,243,246,200,188,208,200,215,193,230,192,188,174,133,104
77,178,304,407,494,504,508,510,498,465,438,447,486,533,608,657,745,714,784,754,732,720,659,634,560,543,464,404,361,324,310,316,261,294,284,252,233,239,248,221,197,217,188,203,215,183,177,181,156,113
62,129,221,358,398,483,528,504,481,466,442,470,490,481,514,644,643,762,761,766,758,699,744,651,630,524,563,434,434,372,348,335,319,271,293,269,236,240,250,247,205,211,228,198,186,173,185,167,152,75
51,100,219,253,357,441,481,462,488,503,508,395,456,458,515,546,598,674,725,766,795,738,755,737,722,607,554,511,489,410,385,376,315,301,284,269,264,268,268,243,230,208,208,207,170,181,158,143,130,78
33,79,136,239,301,401,483,465,471,520,488,445,431,447,437,516,519,609,650,726,770,776,788,769,705,702,631,586,525,438,376,399,365,346,302,304,270,267,280,238,250,220,201,206,184,185,161,140,126,94
26,54,108,201,238,314,437,485,435,488,473,450,419,439,411,471,503,557,646,703,768,732,785,780,733,749,675,619,550,518,489,419,394,385,334,309,287,282,283,255,259,240,208,207,209,148,174,147,123,81
15,39,85,184,201,274,369,427,459,492,478,483,445,422,427,449,470,483,572,626,661,778,726,807,797,758,729,718,644,607,483,455,395,393,344,337,328,280,315,270,222,233,227,207,208,181,158,150,123,66
9,51,82,119,172,251,302,399,405,449,460,484,436,443,396,463,419,469,472,570,620,625,736,785,809,791,827,763,705,676,586,491,478,407,398,347,353,314,272,280,264,245,237,230,184,174,185,168,119,80
